Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
obs-browser-page		Private	Yes	Allow	No	C:\program files\obs-studio\obs-plugins\64bit\obs-browser-page.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
obs-browser-page		Public	Yes	Block	No	C:\program files\obs-studio\obs-plugins\64bit\obs-browser-page.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
obs-browser-page		Private	Yes	Allow	No	C:\program files\obs-studio\obs-plugins\64bit\obs-browser-page.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
obs-browser-page		Public	Yes	Block	No	C:\program files\obs-studio\obs-plugins\64bit\obs-browser-page.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Packet Tracer Executable		Public	Yes	Block	No	C:\program files\cisco packet tracer 8.2.1\bin\packettracer.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Packet Tracer Executable		Private	Yes	Allow	No	C:\program files\cisco packet tracer 8.2.1\bin\packettracer.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Packet Tracer Executable		Public	Yes	Block	No	C:\program files\cisco packet tracer 8.2.1\bin\packettracer.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Packet Tracer Executable		Private	Yes	Allow	No	C:\program files\cisco packet tracer 8.2.1\bin\packettracer.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Port 3306		All	Yes	Allow	No	Any	Any	Any	TCP	3306	Any	Any	Any	Any	Any	None	Any	
Port 33060		All	Yes	Allow	No	Any	Any	Any	TCP	33060	Any	Any	Any	Any	Any	None	Any	
PyCharm		Private	Yes	Allow	No	C:\users\sharanya dasgupta\appdata\local\jetbrains\pycharm 2023.2.1\bin\pycharm64.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
PyCharm		Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\local\jetbrains\pycharm 2023.2.1\bin\pycharm64.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
PyCharm		Private	Yes	Allow	No	C:\users\sharanya dasgupta\appdata\local\jetbrains\pycharm 2023.2.1\bin\pycharm64.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
PyCharm		Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\local\jetbrains\pycharm 2023.2.1\bin\pycharm64.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
python.exe		Private	Yes	Allow	No	C:\users\sharanya dasgupta\appdata\local\programs\python\python311\python.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
python.exe		Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\local\programs\python\python311\python.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
python.exe		Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\local\programs\python\python311\python.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
python.exe		Private	Yes	Allow	No	C:\users\sharanya dasgupta\appdata\local\programs\python\python311\python.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
RecoveritRSTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	23007	Any	Any	Any	Any	Any	None	Any	
RecoveritRSTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	33010	Any	Any	Any	Any	Any	None	Any	
RecoveritRSTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	33011	Any	Any	Any	Any	Any	None	Any	
RecoveritRSTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	23008	Any	Any	Any	Any	Any	None	Any	
RecoveritRSTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	33009	Any	Any	Any	Any	Any	None	Any	
RecoveritRSTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	43012	Any	Any	Any	Any	Any	None	Any	
RecoveritRSTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	53015	Any	Any	Any	Any	Any	None	Any	
RecoveritRSTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	53016	Any	Any	Any	Any	Any	None	Any	
RecoveritRSTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	43013	Any	Any	Any	Any	Any	None	Any	
RecoveritRSTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	53014	Any	Any	Any	Any	Any	None	Any	
RecoveritRSUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	53015	Any	Any	Any	Any	Any	None	Any	
RecoveritRSUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	53014	Any	Any	Any	Any	Any	None	Any	
RecoveritRSUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	53016	Any	Any	Any	Any	Any	None	Any	
RecoveritRSUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	50053	Any	Any	Any	Any	Any	None	Any	
RecoveritRSUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	50053	Any	Any	Any	Any	Any	None	Any	
RecoveritRSUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	43013	Any	Any	Any	Any	Any	None	Any	
RecoveritRSUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	33009	Any	Any	Any	Any	Any	None	Any	
RecoveritRSUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	33010	Any	Any	Any	Any	Any	None	Any	
RecoveritRSUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	23007	Any	Any	Any	Any	Any	None	Any	
RecoveritRSUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	23008	Any	Any	Any	Any	Any	None	Any	
RecoveritRSUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	33011	Any	Any	Any	Any	Any	None	Any	
RecoveritRSUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	43012	Any	Any	Any	Any	Any	None	Any	
RecoveritTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	57216	Any	Any	Any	Any	Any	None	Any	
RecoveritTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	57217	Any	Any	Any	Any	Any	None	Any	
RecoveritTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	57211	Any	Any	Any	Any	Any	None	Any	
RecoveritTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	57218	Any	Any	Any	Any	Any	None	Any	
RecoveritTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	57215	Any	Any	Any	Any	Any	None	Any	
RecoveritTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	57212	Any	Any	Any	Any	Any	None	Any	
RecoveritTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	57210	Any	Any	Any	Any	Any	None	Any	
RecoveritTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	57213	Any	Any	Any	Any	Any	None	Any	
RecoveritTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	57214	Any	Any	Any	Any	Any	None	Any	
RecoveritTCPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	TCP	57209	Any	Any	Any	Any	Any	None	Any	
RecoveritUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	57216	Any	Any	Any	Any	Any	None	Any	
RecoveritUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	57209	Any	Any	Any	Any	Any	None	Any	
RecoveritUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	57214	Any	Any	Any	Any	Any	None	Any	
RecoveritUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	57217	Any	Any	Any	Any	Any	None	Any	
RecoveritUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	57210	Any	Any	Any	Any	Any	None	Any	
RecoveritUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	57213	Any	Any	Any	Any	Any	None	Any	
RecoveritUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	57215	Any	Any	Any	Any	Any	None	Any	
RecoveritUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	57211	Any	Any	Any	Any	Any	None	Any	
RecoveritUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	57212	Any	Any	Any	Any	Any	None	Any	
RecoveritUDPAccessInboundRule		All	Yes	Allow	No	Any	Any	Any	UDP	57218	Any	Any	Any	Any	Any	None	Any	
TallyPrime		Public	Yes	Block	No	C:\program files\tallyprime\tally.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
TallyPrime		Public	Yes	Block	No	C:\program files\tallyprime\tally.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
teams.exe		Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\local\microsoft\teams\current\teams.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
teams.exe		Private	Yes	Allow	No	C:\users\sharanya dasgupta\appdata\local\microsoft\teams\current\teams.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
teams.exe		Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\local\microsoft\teams\current\teams.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
teams.exe		Private	Yes	Allow	No	C:\users\sharanya dasgupta\appdata\local\microsoft\teams\current\teams.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
teraboxhost.exe		Private, Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\roaming\terabox\teraboxhost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
teraboxhost.exe		Private, Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\roaming\terabox\teraboxhost.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
teraboxrender.exe		Private, Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\roaming\terabox\teraboxrender.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
teraboxrender.exe		Private, Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\roaming\terabox\teraboxrender.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
ToastNotification		Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\local\wondershare\wondershare nativepush\wstoastnotification.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
ToastNotification		Private	Yes	Allow	No	C:\users\sharanya dasgupta\appdata\local\wondershare\wondershare nativepush\wstoastnotification.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
